================================================================================
Log File for Training Session RN3
================================================================================
Epoch 1/150, Loss: 0.005159, PSNR: 30.474147 dB, SSIM: 0.873556

Epoch 2/150, Loss: 0.001477, PSNR: 31.835899 dB, SSIM: 0.897068

Epoch 3/150, Loss: 0.001324, PSNR: 32.312760 dB, SSIM: 0.902509

Epoch 4/150, Loss: 0.001292, PSNR: 32.181957 dB, SSIM: 0.902159

Epoch 5/150, Loss: 0.001265, PSNR: 32.308021 dB, SSIM: 0.906719

Epoch 6/150, Loss: 0.001228, PSNR: 32.679285 dB, SSIM: 0.905929

Epoch 7/150, Loss: 0.001207, PSNR: 31.944786 dB, SSIM: 0.906256

Epoch 8/150, Loss: 0.001187, PSNR: 32.191858 dB, SSIM: 0.908403

Epoch 9/150, Loss: 0.001171, PSNR: 33.016823 dB, SSIM: 0.912186

Epoch 10/150, Loss: 0.001165, PSNR: 33.072579 dB, SSIM: 0.913422

Epoch 11/150, Loss: 0.001149, PSNR: 33.085610 dB, SSIM: 0.913927

Epoch 12/150, Loss: 0.001150, PSNR: 32.135218 dB, SSIM: 0.912678

Epoch 13/150, Loss: 0.001138, PSNR: 32.994357 dB, SSIM: 0.914368

Epoch 14/150, Loss: 0.001136, PSNR: 32.932899 dB, SSIM: 0.914490

Epoch 15/150, Loss: 0.001144, PSNR: 32.497339 dB, SSIM: 0.914370

Epoch 16/150, Loss: 0.001129, PSNR: 33.157670 dB, SSIM: 0.914711

Epoch 17/150, Loss: 0.001123, PSNR: 33.143361 dB, SSIM: 0.915052

Epoch 18/150, Loss: 0.001129, PSNR: 33.011002 dB, SSIM: 0.914609

Epoch 19/150, Loss: 0.001130, PSNR: 30.758134 dB, SSIM: 0.913749

Epoch 20/150, Loss: 0.001116, PSNR: 33.203123 dB, SSIM: 0.915648

Epoch 21/150, Loss: 0.001117, PSNR: 32.568988 dB, SSIM: 0.914614

Epoch 22/150, Loss: 0.001112, PSNR: 31.757660 dB, SSIM: 0.916501

Epoch 23/150, Loss: 0.001113, PSNR: 33.206846 dB, SSIM: 0.916603

Epoch 24/150, Loss: 0.001106, PSNR: 33.085273 dB, SSIM: 0.916915

Epoch 25/150, Loss: 0.001106, PSNR: 33.108531 dB, SSIM: 0.916006

Epoch 26/150, Loss: 0.001107, PSNR: 31.755214 dB, SSIM: 0.916529

Epoch 27/150, Loss: 0.001104, PSNR: 33.339661 dB, SSIM: 0.918126

Epoch 28/150, Loss: 0.001099, PSNR: 33.235834 dB, SSIM: 0.915142

Epoch 29/150, Loss: 0.001102, PSNR: 33.298505 dB, SSIM: 0.917983

Epoch 30/150, Loss: 0.001098, PSNR: 33.222981 dB, SSIM: 0.918297

Epoch 31/150, Loss: 0.001101, PSNR: 33.349020 dB, SSIM: 0.917063

