================================================================================
Log File for Training Session SN13
================================================================================
Epoch 1/150, Loss: 0.009335, PSNR: 28.552078 dB, SSIM: 0.850595

Epoch 2/150, Loss: 0.002060, PSNR: 30.228713 dB, SSIM: 0.872911

Epoch 3/150, Loss: 0.001740, PSNR: 30.268007 dB, SSIM: 0.875365

Epoch 4/150, Loss: 0.001767, PSNR: 30.757167 dB, SSIM: 0.876254

Epoch 5/150, Loss: 0.001645, PSNR: 30.076056 dB, SSIM: 0.879063

Epoch 6/150, Loss: 0.001614, PSNR: 29.357924 dB, SSIM: 0.877636

Epoch 7/150, Loss: 0.001568, PSNR: 31.204788 dB, SSIM: 0.879191

Epoch 8/150, Loss: 0.001527, PSNR: 31.005701 dB, SSIM: 0.882910

Epoch 9/150, Loss: 0.001517, PSNR: 31.322718 dB, SSIM: 0.884849

Epoch 10/150, Loss: 0.001512, PSNR: 30.823509 dB, SSIM: 0.886216

Epoch 11/150, Loss: 0.001476, PSNR: 31.507264 dB, SSIM: 0.884544

Epoch 12/150, Loss: 0.001455, PSNR: 31.668480 dB, SSIM: 0.889313

Epoch 13/150, Loss: 0.001448, PSNR: 31.136080 dB, SSIM: 0.888670

Epoch 14/150, Loss: 0.001440, PSNR: 31.756896 dB, SSIM: 0.892106

Epoch 15/150, Loss: 0.001434, PSNR: 30.594605 dB, SSIM: 0.891636

Epoch 16/150, Loss: 0.001416, PSNR: 31.301156 dB, SSIM: 0.892092

Epoch 17/150, Loss: 0.001422, PSNR: 31.706891 dB, SSIM: 0.891775

Epoch 18/150, Loss: 0.001400, PSNR: 31.551216 dB, SSIM: 0.890868

Epoch 19/150, Loss: 0.001431, PSNR: 31.966036 dB, SSIM: 0.894018

Epoch 20/150, Loss: 0.001389, PSNR: 31.419149 dB, SSIM: 0.883263

Epoch 21/150, Loss: 0.001386, PSNR: 32.044547 dB, SSIM: 0.895834

Epoch 22/150, Loss: 0.001389, PSNR: 30.665917 dB, SSIM: 0.893387

Epoch 23/150, Loss: 0.001372, PSNR: 31.939497 dB, SSIM: 0.895569

Epoch 24/150, Loss: 0.001379, PSNR: 31.886765 dB, SSIM: 0.893263

Epoch 25/150, Loss: 0.001364, PSNR: 32.089179 dB, SSIM: 0.897083

Epoch 26/150, Loss: 0.001357, PSNR: 31.990066 dB, SSIM: 0.898183

Epoch 27/150, Loss: 0.001332, PSNR: 31.469303 dB, SSIM: 0.896527

Epoch 28/150, Loss: 0.001342, PSNR: 32.079322 dB, SSIM: 0.898114

Epoch 29/150, Loss: 0.001327, PSNR: 31.933161 dB, SSIM: 0.898951

Epoch 30/150, Loss: 0.001333, PSNR: 31.903882 dB, SSIM: 0.898433

Epoch 31/150, Loss: 0.001325, PSNR: 30.117501 dB, SSIM: 0.894982

Epoch 32/150, Loss: 0.001322, PSNR: 32.109004 dB, SSIM: 0.896680

Epoch 33/150, Loss: 0.001336, PSNR: 32.002204 dB, SSIM: 0.898161

Epoch 34/150, Loss: 0.001337, PSNR: 32.272181 dB, SSIM: 0.899994

Epoch 35/150, Loss: 0.001305, PSNR: 31.743051 dB, SSIM: 0.899682

Epoch 36/150, Loss: 0.001323, PSNR: 32.069885 dB, SSIM: 0.898598

